SUA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2000,386,445,1037,1211,2223,4799,10882,9654,5621,36265,44,70,206,218,332,306,361,333,145,2004,2785,2826,6427,7541,9689,11047,11078,7774,4010,63164,15979,30409,62027,76290,98437,108872,90977,44474,17891,545364
2001,10,14,26,33,56,126,235,174,82,739,0,0,5,9,9,9,4,6,0,48,60,60,132,186,177,171,187,137,98,1213,536,1206,2531,2783,2799,2373,1900,795,333,15261
2002,4,12,35,34,62,102,223,239,141,845,0,3,0,3,11,9,17,7,0,51,82,98,180,148,178,227,268,253,184,1620,342,812,1627,1519,1764,1908,1851,1209,563,11603
2003,66,75,164,169,286,545,1129,1129,727,4291,3,17,32,49,60,36,22,25,10,256,357,521,862,796,897,945,1046,882,518,6819,2845,7480,12974,12152,12619,11785,9476,5364,2375,77079
2004,52,91,222,213,315,517,1066,1123,757,4361,3,20,87,86,93,73,48,29,7,446,385,439,879,775,901,932,983,988,678,6967,2675,6954,12406,11240,11537,11398,8873,5243,2515,72838
2005,8,8,26,48,40,79,227,259,184,877,0,5,8,15,29,41,19,3,3,133,37,55,113,82,119,146,194,165,100,1021,296,744,1432,1318,1515,1603,1318,914,460,9602
2006,11,18,37,31,62,145,357,308,184,1139,0,3,9,6,5,12,11,11,0,51,63,84,171,160,208,250,300,301,190,1740,506,937,2168,2219,2565,2726,2712,1601,622,16052
2007,133,172,384,479,645,1274,2652,2828,1912,10475,24,55,138,162,167,149,184,207,98,1180,741,1091,2259,2103,2295,2255,2479,2155,1456,16831,6322,16122,31377,31699,32007,30228,24331,13704,6564,192339
2008,6,3,13,8,32,50,152,111,80,444,0,0,4,3,3,6,0,0,0,17,51,42,94,164,173,156,161,104,72,1017,460,958,1780,2823,3138,2611,2060,764,303,14892
2009,9,7,31,45,43,80,206,313,208,944,0,3,3,4,10,11,6,3,0,38,58,55,132,115,145,174,183,157,103,1125,385,974,2008,1788,1986,2111,1664,1146,539,12599
2010,1476,2378,7693,9609,14005,23969,45271,45194,23980,173567,352,1504,4805,5331,6877,7932,7893,9116,3869,47685,12484,20594,49790,37838,34706,31528,30103,25880,17313,260241,111417,322788,709820,616586,564074,455876,328763,189742,86785,3385848
2011,47,51,198,183,252,484,763,364,154,2499,5,14,65,84,97,71,78,45,13,475,225,315,751,630,571,540,498,288,116,3934,1703,3956,9559,8552,7006,6469,4418,1534,541,43743
2012,43,54,130,150,251,460,883,838,436,3245,8,15,53,61,78,68,68,67,28,450,249,289,638,493,645,728,763,585,335,4716,1439,2967,6125,5758,6536,6453,5229,2999,1271,38774
2013,17,25,48,52,99,181,278,254,168,1131,0,0,11,9,10,11,9,17,7,73,69,93,157,138,199,222,281,242,168,1573,478,1104,1881,1756,2141,2350,1906,1141,537,13299
2014,4,9,24,30,45,104,167,199,156,744,0,0,3,7,9,3,3,3,3,29,54,68,83,103,141,154,155,127,61,943,297,572,1031,1249,1542,1667,1209,704,333,8602
2015,3,14,26,25,50,60,181,202,128,686,0,3,14,9,15,12,7,7,4,71,47,66,156,150,172,180,167,152,86,1182,353,808,1843,1743,1906,1860,1439,886,449,11291
2016,38,62,192,226,240,383,721,730,395,2991,13,35,121,152,122,84,80,76,45,721,232,226,595,542,616,632,680,520,292,4330,1332,2908,6413,6014,6397,5846,4671,2753,1210,37551
2017,0,7,33,26,29,65,159,212,152,696,3,6,13,33,31,18,11,25,8,148,81,81,152,137,165,168,185,160,89,1211,301,673,1414,1256,1320,1255,1049,792,385,8448
2018,16,54,110,120,154,323,600,634,333,2335,0,3,28,15,33,26,27,44,23,199,196,226,483,384,520,557,519,517,249,3651,1032,2613,5384,4706,5226,5160,4011,2473,1062,31669
2019,10,16,36,40,58,122,267,325,247,1119,0,0,3,6,15,10,14,19,3,71,82,75,108,139,165,218,243,261,279,1566,453,954,1971,2129,2361,2413,2108,1446,856,14693
2020,26,15,54,54,97,161,471,478,314,1670,3,8,14,16,28,15,21,11,9,122,101,141,250,301,370,384,422,348,127,2438,922,1898,4050,3870,4606,4463,4032,2198,835,26873
2021,13,20,54,56,66,194,449,476,337,1668,0,3,24,12,16,11,17,0,0,90,151,160,279,296,375,377,440,403,232,2721,959,2233,4106,3970,4520,4302,3438,2003,973,26508
