SUA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
2000,891,16965,3050,20912,880,13583,1793,16255,2197,24686,3884,30767,3724,29265,4348,37337,5885,37392,5300,48576,7526,41467,5610,54607,4953,35940,5837,46732,2061,15912,3931,21903,552,4877,1595,7026,28661,220088,35353,284107,973,15383,2677,19036,1116,11786,1350,14256,3724,24874,2719,31319,6269,29364,3364,38999,9773,35866,4255,49901,12027,37267,5024,54307,6637,32165,5474,44278,2219,15977,4400,22601,449,7953,2473,10880,43190,210636,31738,285568,1867,32350,5729,39948,1995,25368,3148,30512,5927,49561,6606,62085,9987,58630,7710,76335,15661,73258,9556,98475,19551,78736,10634,108918,11594,68108,11310,91011,4277,31886,8329,44497,999,12837,4067,17903,71854,430727,67092,569670
2001,26,618,51,692,28,560,39,625,82,1074,76,1233,120,1124,89,1332,179,1102,98,1373,154,902,85,1139,114,714,87,914,52,245,54,348,11,82,18,116,758,6421,596,7773,34,573,50,651,38,518,28,582,154,1076,63,1293,235,1137,85,1454,288,1051,85,1423,273,885,80,1235,154,728,107,990,47,323,84,451,5,186,25,216,1226,6479,613,8307,58,1187,97,1342,61,1077,66,1208,243,2144,142,2530,351,2258,176,2787,469,2155,180,2802,423,1791,160,2377,265,1440,195,1903,96,565,140,795,20,272,46,333,1985,12892,1201,16082
2002,22,331,77,428,22,317,45,390,58,653,98,809,86,560,82,732,100,597,79,773,120,670,93,877,97,658,124,878,53,392,89,532,16,112,53,183,582,4280,745,5605,27,319,63,409,33,337,56,425,103,631,83,821,149,564,80,788,216,685,84,987,217,705,113,1036,114,725,131,971,60,453,167,683,16,253,114,383,933,4671,899,6498,43,654,141,838,61,654,105,822,162,1282,186,1628,240,1119,162,1518,314,1282,164,1767,335,1372,203,1908,215,1378,252,1851,115,840,256,1212,35,366,167,563,1512,8945,1643,12101
2003,117,2904,297,3311,174,3244,287,3709,432,5479,453,6368,609,4761,416,5789,780,4732,439,5950,816,4291,401,5514,551,3368,481,4406,264,1694,355,2315,65,564,151,786,3820,31028,3292,38144,146,2754,292,3191,267,3228,287,3783,732,5431,459,6622,1009,4976,391,6369,1402,4809,458,6676,1511,4304,463,6281,834,3714,532,5080,324,2192,537,3059,55,1265,264,1589,6293,32678,3673,42647,266,5659,584,6504,446,6468,572,7489,1167,10912,913,12991,1619,9734,803,12161,2184,9537,899,12626,2325,8599,867,11787,1392,7075,1010,9477,587,3885,899,5375,123,1833,415,2375,10112,63711,6963,80792
2004,117,2570,329,3016,179,2963,258,3395,421,5134,447,6001,563,4393,401,5358,736,4333,444,5513,859,4062,467,5384,496,3236,461,4192,266,1692,390,2352,90,589,207,886,3738,28962,3401,36093,193,2494,311,3002,227,3110,240,3572,782,5187,446,6419,995,4481,410,5884,1269,4335,436,6039,1425,4134,457,6022,710,3467,517,4688,298,2053,543,2891,74,1149,405,1632,5971,30409,3771,40147,313,5065,644,6023,411,6065,493,6970,1201,10322,894,12416,1561,8874,812,11241,2005,8665,881,11552,2286,8191,923,11405,1203,6700,973,8880,560,3744,935,5240,167,1739,611,2515,9710,59366,7168,76243
2005,13,327,35,374,22,339,31,391,51,627,77,753,68,569,45,687,88,578,58,724,118,567,66,747,73,459,82,612,48,262,68,380,17,108,28,154,495,3830,494,4817,24,281,38,345,16,314,26,363,75,559,47,678,105,491,35,628,185,548,60,794,191,596,74,860,77,539,94,706,52,373,111,540,9,232,65,303,738,3928,552,5219,36,611,72,713,40,654,58,745,121,1189,123,1432,175,1057,83,1315,278,1120,122,1515,310,1158,142,1606,152,996,175,1318,103,637,181,914,24,343,89,460,1229,7762,1044,10034
2006,21,536,69,624,18,392,47,460,67,860,82,1009,109,869,94,1064,129,994,95,1217,165,1012,114,1295,133,1036,165,1332,80,523,139,741,15,157,59,226,730,6379,866,7977,29,500,67,601,26,402,47,474,137,925,98,1166,156,916,80,1153,239,1012,98,1350,292,1022,117,1428,191,1031,157,1382,91,584,182,858,6,300,87,393,1163,6685,946,8794,53,1039,135,1223,42,795,97,937,203,1783,186,2176,268,1780,169,2219,368,2009,195,2565,451,2036,237,2726,322,2070,327,2713,169,1104,324,1601,23,456,141,622,1897,13066,1810,16773
2007,305,6800,690,7795,375,7226,675,8284,931,13016,1421,15369,1426,12747,1278,15448,1968,12098,1236,15298,2254,11062,1073,14383,1396,8937,1144,11474,688,4516,860,6063,198,1721,441,2361,9546,78126,8816,96484,377,6572,609,7552,517,6859,536,7907,1633,13399,1002,16036,2594,12738,935,16268,3510,12188,1035,16730,3725,11035,1099,15858,2168,9457,1237,12862,754,5658,1237,7644,169,3232,803,4203,15443,81141,8488,105074,680,13375,1293,15347,891,14086,1213,16188,2565,26414,2416,31402,4020,25487,2211,31719,5477,24282,2276,32028,5981,22099,2173,30243,3563,18394,2383,24339,1437,10174,2093,13708,370,4958,1242,6564,24987,159264,17304,201556
2008,31,603,55,688,26,438,25,490,47,727,50,828,113,1122,104,1335,178,1240,81,1506,194,1012,86,1288,119,831,79,1026,38,290,67,393,9,90,19,112,755,6360,559,7677,23,557,57,642,36,407,19,467,84,808,57,953,214,1187,86,1488,321,1226,86,1632,348,900,78,1327,186,749,100,1034,37,271,61,372,6,127,52,193,1258,6248,599,8100,58,1168,114,1334,65,853,46,961,130,1539,112,1783,324,2310,187,2826,503,2467,168,3138,540,1912,158,2608,304,1582,180,2060,83,558,126,762,15,221,66,305,2012,12604,1158,15775
2009,12,435,46,495,28,415,28,467,73,829,77,981,79,695,61,836,133,757,69,964,146,770,67,989,84,604,90,773,50,380,75,500,18,130,33,183,630,5016,549,6190,26,403,43,472,27,444,38,510,109,869,55,1028,130,767,58,954,202,764,58,1025,243,783,96,1120,125,662,110,896,73,474,100,647,17,278,57,356,945,5445,611,7000,35,839,85,961,58,860,65,980,182,1693,133,2010,206,1460,117,1788,335,1524,132,1983,395,1556,165,2110,205,1262,195,1665,124,851,174,1144,39,409,95,543,1576,10454,1156,13188
