SUA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
2000,9797,74063,94025,38847,26428,243170,11534,254709
2001,287,2053,2736,1076,691,6844,254,7099
2002,345,2029,1964,623,298,5256,329,5587
2003,2556,13669,13939,4134,2062,36355,1453,37811
2004,2168,12370,13341,4250,2027,34156,1406,35561
2005,340,1718,1650,516,252,4475,223,4697
2006,430,2526,3004,907,403,7270,376,7646
2007,5479,31424,35661,10381,5186,88124,3204,91328
2008,110,1388,3007,1189,820,6512,164,6682
2009,453,2315,2344,771,341,6228,253,6481
2010,135539,532277,554389,164806,84763,1471782,48152,1519926
2011,896,6272,7925,2545,1381,19017,820,19836
2012,1265,6177,6724,2203,1183,17550,926,18471
2013,685,2591,2082,693,366,6418,359,6781
2014,250,1521,1499,505,235,4007,216,4220
2015,442,2126,2070,539,221,5404,223,5624
2016,1143,6126,6510,2103,1043,16921,781,17703
2017,304,1429,1441,413,215,3798,224,4026
2018,1221,5825,5552,1605,762,14968,705,15676
2019,533,2892,2651,714,323,7116,382,7495
2020,536,3958,4889,1724,1096,12201,473,12676
2021,755,4533,4882,1356,685,12216,532,12751
