SUA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
2000,2354,363,40,17,2770,34,14,48,2822,199,4,3021,9016,1039,179,90,10322,97,16,114,10438,233,14,10680,1811,192,222,32,2257,22,3,24,2284,43,0,2324,168,14,0,90,274,0,0,0,274,15,4,291,13340,1614,440,231,15621,153,35,191,15811,484,17,16315,54,9,3,0,71,20,0,19,88,22,0,117,268,33,3,4,311,25,5,32,341,18,0,357,320,44,12,6,383,42,8,50,430,37,0,470,13665,1655,455,230,16002,198,40,240,16247,521,17,16791,7065,1034,228,242,8567,294,40,329,8900,766,19,9684,48,3,3,14,70,0,0,0,70,3,49,123,20778,2696,682,491,24641,488,84,570,25215,1292,86,26597,4769,689,75,39,5568,56,34,87,5655,347,14,6016,11936,1451,229,122,13738,117,23,140,13873,441,18,14330,474,81,154,10,722,8,3,14,731,25,0,756,165,20,3,132,315,0,0,0,315,27,9,349,17341,2230,460,302,20338,179,57,235
2001,123,20,0,6,147,0,0,0,151,7,0,162,349,35,0,0,384,7,0,7,391,13,0,404,62,3,15,0,79,0,0,0,76,0,0,76,3,0,0,6,8,0,0,0,8,0,0,8,545,55,15,10,616,9,0,4,626,23,0,649,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,12,0,0,0,16,0,0,19,20,0,0,0,20,0,0,0,19,0,0,23,560,55,15,10,639,6,0,10,647,24,0,667,332,31,14,3,383,10,3,19,399,25,0,426,3,0,0,0,0,0,0,0,0,0,0,0,895,87,31,12,1022,23,4,24,1044,45,0,1097,225,22,0,0,248,0,0,0,252,8,0,257,397,45,7,3,452,8,0,8,465,13,0,479,20,3,3,0,21,0,0,0,21,3,0,29,5,3,0,4,10,0,0,0,10,0,0,10,640,69,5,13,732,17,0,17
2002,40,10,0,0,49,0,0,0,52,7,0,61,184,24,4,0,212,0,0,0,214,11,0,222,42,8,3,0,57,0,0,0,57,0,0,57,5,0,0,0,3,0,0,0,3,0,0,3,272,42,8,0,328,0,0,4,330,15,0,345,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,7,0,0,0,7,0,0,7,273,46,8,0,332,3,0,3,333,15,0,353,174,26,3,0,201,9,6,12,216,21,0,237,0,0,0,0,0,0,0,0,0,0,3,3,445,72,18,0,537,6,8,16,548,37,3,589,72,9,0,0,81,3,0,3,87,15,0,96,210,26,4,0,233,4,0,4,236,15,0,256,19,0,0,0,14,0,0,0,14,0,0,14,0,0,0,3,3,0,0,0,3,0,0,3,294,37,6,3,338,6,0,6
2003,395,74,3,3,471,7,3,13,483,33,0,521,1752,193,15,15,1976,14,9,27,1998,45,0,2042,380,46,39,0,462,3,0,3,466,5,0,474,18,0,0,12,33,0,0,0,33,0,0,32,2533,318,55,32,2942,25,15,38,2979,91,0,3069,19,5,0,0,26,9,0,9,29,3,0,33,49,10,0,4,59,0,3,3,62,3,0,66,66,11,0,3,84,9,3,7,94,9,0,104,2602,331,55,33,3027,32,16,51,3076,92,0,3171,1126,137,34,21,1317,71,5,79,1397,146,3,1548,6,3,0,4,10,0,0,0,6,0,15,19,3735,464,96,63,4350,104,24,127,4481,240,15,4737,658,95,5,5,763,15,8,24,787,53,0,835,1916,195,19,14,2152,14,8,25,2173,63,0,2234,62,14,15,3,94,3,0,3,102,6,0,107,10,3,0,21,28,3,0,3,31,5,0,35,2647,306,39,41,3033,38,10,51
2004,380,69,7,0,463,17,5,22,484,24,0,502,1529,170,20,10,1734,15,4,24,1755,37,4,1793,355,50,48,7,460,7,0,4,471,3,0,475,18,3,0,6,25,0,0,0,25,0,0,28,2286,294,83,19,2687,38,10,48,2735,66,4,2795,12,0,0,5,14,0,0,0,19,0,0,21,64,10,0,0,73,3,3,7,79,4,0,91,78,8,0,5,92,5,3,6,100,13,0,111,2361,305,84,22,2777,46,13,58,2833,71,4,2907,1108,182,20,10,1327,48,17,67,1396,152,4,1550,6,0,0,0,6,0,0,0,6,0,0,6,3481,490,108,38,4109,91,28,123,4232,225,8,4457,644,90,6,3,747,8,5,15,764,40,0,802,1658,182,45,25,1910,20,0,21,1936,44,0,1982,61,10,5,3,84,0,0,0,85,3,0,91,15,0,0,12,22,0,0,0,24,0,0,24,2381,289,59,43,2768,34,9,37
2005,61,7,0,0,67,0,0,0,69,0,0,74,200,16,6,0,217,3,0,3,224,0,0,226,25,3,4,0,30,0,0,0,30,3,0,37,3,0,0,4,9,0,0,0,9,0,0,9,280,24,8,8,324,4,0,4,329,6,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,284,24,8,8,329,8,0,8,333,6,0,339,134,21,7,7,172,10,0,7,178,12,0,192,0,0,0,0,0,0,0,0,0,0,3,3,416,49,19,12,495,9,0,15,512,17,3,532,77,20,0,0,101,3,0,3,103,3,0,108,282,14,0,0,289,0,0,3,292,3,0,297,8,0,0,0,7,0,0,0,7,0,0,7,0,0,0,3,5,0,0,0,5,0,0,5,371,27,0,10,407,8,0,3
2006,96,20,0,0,116,0,3,3,116,3,0,124,338,23,5,5,375,3,0,3,376,12,0,389,40,5,25,0,69,0,0,0,69,3,0,70,4,0,0,3,9,0,0,0,9,0,0,7,472,47,33,11,560,3,3,6,570,14,3,583,6,0,0,0,6,0,0,0,6,0,0,6,11,4,0,0,14,0,0,0,14,0,0,14,16,4,0,0,18,0,0,0,18,0,0,18,491,49,33,11,576,3,3,6,589,14,3,607,164,18,0,0,188,5,0,5,196,14,0,207,3,0,0,0,3,0,0,0,3,0,5,8,654,72,34,14,773,11,3,16,785,27,11,820,185,11,3,0,197,0,0,0,197,8,0,209,380,35,4,4,429,3,3,4,433,5,0,443,8,0,5,0,17,0,3,3,20,0,0,20,0,0,0,7,4,0,0,0,4,3,0,12,571,53,16,11,650,3,4,11
2007,1061,160,21,4,1260,31,11,37,1295,104,3,1401,4249,416,65,38,4761,61,11,67,4828,87,0,4915,994,85,82,14,1171,7,0,7,1180,19,0,1202,43,5,3,34,89,0,0,0,89,4,5,95,6353,665,169,91,7271,97,19,120,7389,214,5,7610,44,5,0,4,53,4,0,4,64,10,0,72,185,21,0,0,205,7,3,10,217,4,0,221,226,30,0,4,263,8,3,12,276,13,0,287,6578,692,170,97,7536,107,21,129,7670,227,5,7901,2956,415,90,71,3533,118,30,140,3679,350,6,4034,16,0,3,11,33,0,0,0,33,0,28,62,9556,1118,262,170,11107,222,50,273,11380,571,40,11994,1641,275,30,9,1957,52,14,65,2020,130,3,2152,4849,499,46,34,5435,55,10,71,5500,101,7,5604,189,18,64,0,272,0,0,0,275,9,0,281,37,9,0,22,61,0,3,3,69,3,0,68,6714,798,140,71,7726,108,28,135
2008,116,7,3,0,130,3,0,3,132,4,0,139,454,33,5,4,491,3,0,7,492,9,0,499,107,7,14,0,129,0,0,0,128,0,0,128,5,0,0,3,10,0,0,0,10,0,0,10,684,48,16,5,755,6,0,10,764,13,0,778,4,0,0,0,4,0,0,0,4,0,0,4,16,0,0,0,16,0,0,0,16,0,0,16,16,0,0,0,16,0,0,0,16,0,0,16,700,48,16,5,770,6,0,10,780,13,0,790,287,23,5,3,318,8,0,8,324,15,0,338,0,0,0,0,0,0,0,0,0,0,0,0,992,74,23,8,1096,10,0,9,1110,29,0,1135,247,18,0,3,268,5,0,7,275,14,0,290,564,46,0,7,620,7,0,7,624,13,0,642,25,4,4,0,29,0,0,0,29,0,0,32,5,0,0,0,7,0,0,0,7,0,0,6,836,67,8,13,923,13,0,14
2009,46,11,0,0,54,0,0,0,54,3,0,58,285,30,3,0,317,3,0,3,318,9,0,326,58,3,4,0,70,0,0,0,68,0,0,68,0,0,0,4,5,0,0,0,4,0,5,5,388,44,6,4,444,3,0,3,451,11,5,462,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,6,0,0,6,6,0,0,0,10,0,0,0,13,0,0,13,398,46,6,4,457,3,0,3,458,11,5,472,197,34,5,4,243,14,4,13,258,15,0,271,0,0,0,0,0,0,0,0,0,0,3,3,593,73,14,8,694,18,4,22,714,21,10,744,91,7,3,0,107,0,0,0,112,4,0,112,330,32,10,3,368,3,0,3,370,10,0,380,7,0,0,0,14,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,3,0,0,3,434,42,8,5,494,5,0,4
