SUA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,571,1110,1867,1902,2372,1906,553,64,14,10365,862,1029,1666,2213,3067,2669,1168,421,101,13195,16084,20707,43519,55459,72254,63468,19136,3472,682,294791
2001,18,57,94,61,79,43,17,0,0,365,25,49,81,83,95,58,27,4,0,417,573,858,1899,2107,2140,1412,290,19,3,9307
2002,12,29,53,41,49,57,8,0,0,257,16,16,40,38,50,44,19,5,0,230,342,530,1132,1053,1254,1092,271,46,7,5729
2003,57,181,317,295,325,260,79,6,0,1520,105,173,261,273,326,212,72,21,4,1440,2649,4796,9436,9115,9337,6847,1468,166,26,43841
2004,75,211,388,278,288,251,67,9,3,1571,83,169,262,309,281,249,72,27,3,1450,2564,4711,9126,8350,8563,6723,1379,151,31,41593
2005,8,18,44,33,30,32,10,0,0,176,9,20,58,37,37,46,12,3,5,239,378,545,1050,1000,1108,965,217,33,12,5312
2006,18,44,87,54,73,72,20,4,0,373,22,37,56,62,91,77,27,3,4,379,645,675,1648,1751,2047,1645,390,57,10,8863
2007,150,479,910,813,796,600,164,24,3,3941,240,451,817,871,890,673,219,59,19,4243,6296,10925,23362,24291,24295,17742,3854,414,63,111234
2008,10,26,59,75,82,65,16,3,0,340,18,28,53,103,106,59,32,0,3,407,533,727,1442,2310,2641,1711,462,33,3,9860
2009,16,43,88,60,59,57,19,4,0,346,23,26,58,43,56,43,16,10,0,271,479,707,1522,1371,1544,1340,334,60,12,7364
2010,2194,7499,18718,15795,15506,9980,2683,319,38,72734,3279,9850,25167,21868,21551,13467,4169,866,269,100488,84049,196031,524424,466991,423981,272576,66010,7072,1142,2042271
2011,58,118,273,216,155,134,33,0,0,989,68,167,312,310,281,175,33,4,0,1354,1339,2460,6427,5858,4738,3405,595,30,3,24867
2012,49,97,167,134,162,119,32,4,0,763,46,87,179,167,182,178,55,14,6,920,1305,1864,4088,4098,4604,3693,895,113,26,20681
2013,9,37,51,40,55,43,13,0,0,242,24,35,52,38,60,50,11,6,0,271,389,667,1205,1122,1350,1096,225,28,5,6085
2014,7,20,27,34,42,27,11,0,0,175,14,25,19,32,38,32,12,11,0,188,290,347,679,899,1098,884,203,39,3,4446
2015,9,35,54,43,33,39,8,0,0,231,15,21,68,25,40,41,4,4,3,219,399,537,1324,1257,1337,1052,212,31,10,6155
2016,45,90,198,178,219,131,44,5,0,904,63,96,203,188,175,131,45,13,11,921,1362,1812,4282,4165,4497,3425,845,94,20,20507
2017,9,30,63,31,26,25,6,0,0,190,10,25,39,25,29,29,8,5,0,178,322,476,1019,884,970,796,165,31,4,4666
2018,34,81,151,136,112,73,27,7,0,616,32,58,129,99,118,90,31,11,0,580,946,1622,3671,3300,3505,2673,577,80,8,16376
2019,13,42,70,58,63,44,18,0,0,296,31,27,60,52,67,49,17,9,0,316,558,655,1469,1583,1793,1449,296,39,10,7862
2020,44,72,156,127,171,129,37,7,0,747,30,55,110,102,151,115,43,15,3,633,934,1321,3036,2829,3483,2687,703,121,17,15136
2021,22,73,119,123,113,92,29,3,0,567,39,53,108,84,138,85,25,13,3,544,1203,1618,3116,3052,3526,2629,548,68,16,15780
