SUA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2000,139,40,26,69,11,46,6,28,12,786,25,1183,103,55,12,48,5,38,0,66,6,565,18,917,40,42,7,45,4,35,3,149,19,346,7,692,10,13,0,5,3,29,7,89,9,222,0,383,179,164,34,130,6,107,15,445,57,3315,65,4519,90,130,15,122,10,217,16,609,63,1177,19,2459,313,449,56,303,26,464,47,1127,162,10162,190,13296,388,554,57,580,46,880,79,1155,168,3649,74,7630,729,833,104,1260,89,1133,106,957,153,3749,99,9203,1189,688,114,1786,136,916,109,596,127,2237,87,7986,870,281,49,1321,100,656,76,298,75,514,14,4257,1427,340,82,1296,114,602,62,200,72,646,29,4873,3001,421,136,2015,224,800,106,268,101,729,65,7859,1869,206,81,1117,168,257,50,107,21,247,23,4143,1066,108,54,525,80,116,24,49,11,134,7,2181,492,34,24,177,32,190,4,52,23,74,4,1115,881,158,64,575,67,222,29,100
2001,3,0,0,3,0,0,0,0,0,31,0,37,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,8,0,56,3,73,0,0,0,0,0,3,0,11,4,20,0,38,0,3,0,3,0,8,0,20,8,215,0,269,0,5,0,5,0,15,0,13,0,80,0,130,3,9,0,11,0,25,4,22,9,98,0,187,17,13,3,37,0,47,0,13,3,45,0,177,28,7,0,30,3,14,0,6,0,13,0,101,27,6,0,33,3,17,0,10,0,13,0,109,121,5,3,63,4,36,3,3,3,19,0,261,85,3,0,36,3,7,3,8,0,10,0,156,41,0,0,16,3,8,0,0,0,3,0,74,26,0,0,7,0,9,0,0,0,5,0,46,27,0,0,7,0,4,0,0
2002,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,3,0,13,0,14,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,0,7,4,3,0,0,0,0,0,8,0,74,0,84,0,0,0,0,0,6,0,16,0,17,0,40,0,4,3,4,0,11,3,16,4,229,4,283,12,7,0,12,0,16,0,24,3,105,0,181,8,19,0,26,0,21,0,29,5,89,0,202,21,12,0,53,8,14,0,4,3,55,3,167,26,8,3,25,3,14,0,8,0,8,0,98,26,5,0,25,3,7,0,4,0,16,0,90,68,5,3,31,8,11,0,9,0,23,0,151,30,5,0,23,6,3,0,0,0,3,0,75,18,0,0,3,0,0,0,0,0,3,0,32,11,0,0,0,0,3,0,0,0,0,0,11,14,0,0,7,0,4,0,0
2003,3,0,0,0,0,3,0,4,0,84,7,97,0,0,0,0,0,0,0,7,0,53,0,64,0,4,0,0,0,0,0,18,0,35,0,57,0,0,0,0,0,0,0,10,3,26,0,45,0,7,3,5,0,9,0,41,3,312,3,388,4,12,0,11,0,14,4,61,8,142,4,254,7,39,4,23,3,57,0,118,15,1163,19,1448,12,57,0,49,4,108,4,121,13,445,3,822,46,85,6,116,13,138,5,123,17,426,4,975,122,66,3,220,11,116,8,91,12,264,9,915,141,29,4,198,8,108,8,37,4,78,0,613,197,19,3,169,19,86,8,28,9,61,0,605,522,56,15,258,33,117,8,31,12,94,3,1139,321,16,8,155,18,28,7,7,3,34,3,603,188,3,6,71,12,4,0,0,0,18,0,304,103,0,5,18,5,19,0,5,0,9,0,166,133,18,9,85,11,30,3,12
2004,0,0,0,0,0,3,0,4,0,65,0,79,3,3,0,0,0,0,0,7,3,52,0,69,0,0,0,3,0,4,0,12,0,30,0,46,0,0,0,0,0,0,0,3,0,11,0,20,4,7,0,3,0,8,0,36,7,303,6,368,0,13,0,6,0,12,0,63,10,118,4,229,7,36,0,23,0,56,6,101,12,1104,11,1363,11,55,8,54,3,101,6,137,17,432,4,835,31,61,6,146,5,144,16,116,14,476,11,1032,154,78,6,236,12,103,6,72,16,315,0,997,130,24,5,183,13,91,4,30,9,71,0,563,199,37,11,139,12,55,8,24,5,77,0,567,464,36,6,284,35,93,16,45,7,91,0,1076,288,20,10,144,27,26,3,14,4,36,3,581,187,6,5,72,5,8,7,8,3,20,0,320,72,6,3,22,3,19,0,4,0,10,0,135,96,14,5,75,5,33,3,9
2005,0,0,0,0,0,0,0,0,0,6,0,10,0,4,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,3,0,7,0,9,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,6,0,52,0,65,0,4,0,0,0,4,0,4,0,17,0,32,0,4,0,8,0,7,0,18,0,142,0,181,3,3,0,6,4,9,0,10,3,56,0,104,7,11,4,24,3,28,0,17,4,72,0,161,27,12,0,37,0,9,0,7,4,33,4,124,18,3,5,24,0,5,4,4,4,8,0,80,20,8,0,28,0,5,3,4,0,10,0,81,73,5,3,30,4,5,4,3,0,17,0,144,22,4,0,17,3,4,0,7,0,3,0,51,21,0,0,5,0,0,0,0,0,0,0,33,7,0,0,0,0,0,0,0,0,0,0,10,6,0,0,6,0,0,0,0
2006,3,0,0,0,0,0,0,0,0,24,0,34,0,0,0,0,0,0,0,3,0,10,0,14,0,0,0,0,0,0,0,3,0,10,0,15,0,0,0,0,0,0,0,3,0,9,0,9,0,3,0,0,0,0,0,7,0,106,7,127,0,0,0,0,0,4,0,22,3,29,0,60,9,6,3,7,0,15,0,23,5,353,11,426,0,6,0,10,0,18,0,27,0,120,3,193,14,19,3,30,0,36,8,22,3,142,6,282,42,23,3,55,0,32,3,14,3,82,0,251,33,9,5,42,4,22,4,11,0,10,0,138,52,9,0,38,3,16,4,3,3,21,0,160,129,10,0,56,3,19,6,9,5,28,7,267,68,0,3,35,3,6,0,3,0,15,0,131,40,3,0,15,5,0,0,0,0,0,0,67,11,0,0,3,0,3,0,0,0,3,0,25,19,3,0,14,0,5,0,3
2007,9,4,0,0,0,0,0,3,3,278,0,309,0,3,0,0,0,8,0,7,3,144,0,172,0,10,0,3,0,3,0,51,5,90,3,162,0,0,0,0,0,4,0,23,4,64,0,94,13,35,4,5,0,17,6,106,7,930,8,1124,8,37,0,13,0,46,3,134,8,351,7,597,17,89,6,46,3,118,8,271,21,2666,56,3299,27,129,3,95,7,242,11,322,24,1218,14,2101,66,175,3,269,24,326,26,288,33,1256,16,2484,231,192,17,471,23,245,22,221,24,784,9,2243,243,81,11,387,20,224,12,108,17,225,5,1341,387,73,19,428,25,199,22,78,11,255,4,1496,1332,120,25,680,66,262,32,111,18,289,12,2952,937,56,20,484,49,81,27,43,15,103,3,1814,531,24,13,185,25,44,7,20,3,60,0,917,282,12,9,71,13,70,9,20,11,36,0,527,417,54,18,219,16,100,10,54
2008,3,3,0,0,0,0,0,0,0,25,0,31,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,8,0,6,0,0,0,0,0,4,0,49,0,64,3,3,0,0,0,5,0,6,0,20,0,45,4,3,0,3,0,6,0,16,0,137,0,164,3,7,0,6,0,20,0,25,4,101,0,164,4,16,0,21,0,21,8,30,0,106,0,198,11,17,0,30,3,21,0,21,0,77,3,181,13,3,0,34,0,24,0,7,3,34,0,122,22,4,0,21,0,17,4,9,0,29,0,110,67,11,0,55,10,27,0,15,3,31,0,226,69,15,3,38,11,29,0,3,0,19,0,181,66,4,0,32,8,10,3,3,0,6,0,125,30,0,3,8,6,17,0,4,0,4,0,76,72,0,5,26,3,16,0,7
2009,0,0,0,0,0,0,0,0,0,15,0,14,0,5,0,0,0,0,0,5,0,3,0,13,0,0,0,0,0,0,0,4,0,8,0,10,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,58,0,72,0,3,0,0,0,3,0,14,0,19,0,39,0,9,3,0,0,14,0,19,3,193,7,246,3,10,0,16,0,22,3,29,6,100,5,181,13,20,0,29,3,20,0,21,3,101,0,205,41,19,0,46,3,16,5,4,4,49,4,198,36,7,3,33,0,8,0,3,9,3,0,105,50,4,6,37,6,5,0,6,0,16,0,129,83,6,3,46,8,30,6,4,0,20,0,203,66,0,0,22,4,9,0,3,0,9,0,111,32,3,0,12,0,5,0,0,0,0,0,54,4,0,0,5,3,0,0,3,0,5,0,26,15,4,0,17,0,3,0,3
