UCL_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL201001,7711,46836,212646,206625,176886,105794,18780,1352,240,776867,27880,44717,46696,29279,27228,28100,16912,2828,338,223984,1219,2022,4945,4365,3959,4063,1497,224,35,22323,1047,2811,6165,4384,3698,2333,769,215,88,21512,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,2439,7129,12546,9077,8361,5905,516,31,15,46031,9556,8220,4430,1946,1784,2287,809,88,7,29130,11998,15348,16975,11028,10144,8200,1330,122,21,75156,49850,111746,287426,255677,221911,148484,39293,4738,716,1119843,71503,38705,33008,24249,29148,51038,100967,71188,27474,447271,5481,9170,22087,16628,14301,11599,9337,6807,3470,98880,126834,159623,342522,296548,265362,211120,149599,82732,31661,1665995,2860,36260,147731,102631,102873,56697,7133,346,101,456627,37265,52631,77460,95315,86842,58562,16366,1414,175,426019,1439,2731,13292,9041,4670,4506,1317,133,39,37165,1131,2203,4107,2940,2863,1660,572,219,83,15783,42691,93822,242586,209920,197250,121420,25394,2113,396,935589,1579,4685,8979,5937,5084,2641,123,23,8,29062,10153,8190,7431,6704,5174,3177,444,60,17,41349,11729,12878,16412,12641,10259,5817,570,85,31,70411
UCL203001,392,2062,6630,6411,5987,3932,581,55,5,26055,1246,1623,1394,904,929,1223,630,99,12,8063,65,107,208,178,192,223,58,10,0,1039,44,103,197,139,116,81,24,13,4,714,1745,3895,8433,7629,7230,5459,1287,169,26,35868,121,349,454,323,343,266,7,0,0,1870,308,255,138,73,75,107,22,5,0,973,431,600,583,397,422,368,35,6,0,2841,2170,4500,9020,8026,7649,5823,1318,176,23,38704,2579,1157,996,945,1257,2378,4868,3211,1371,18763,236,347,631,508,581,490,478,360,200,3824,4990,6002,10640,9472,9480,8701,6667,3744,1596,61294,151,1476,4021,2811,3388,2009,194,11,7,14051,1843,2221,2917,3802,3617,2853,645,46,6,17958,105,166,533,347,218,262,67,7,0,1698,83,91,94,93,83,70,23,9,6,552,2176,3956,7558,7052,7314,5186,926,70,25,34262,99,187,251,169,193,110,4,6,3,1008,362,244,232,231,152,125,20,3,0,1364,457,432,480,393,343,231,23,7,0,2376
UCL211001,207,688,1599,1413,1456,912,137,6,0,6424,284,195,249,203,208,245,130,18,3,1533,14,19,49,47,35,57,22,3,0,244,10,23,38,29,23,15,8,0,0,146,511,925,1935,1694,1720,1232,296,23,5,8339,53,75,68,65,53,49,3,0,0,365,82,23,19,19,21,26,3,0,0,183,135,101,84,81,71,68,11,0,0,544,646,1020,2024,1773,1791,1304,305,23,5,8887,513,145,176,201,254,512,1072,619,203,3702,59,92,162,143,119,146,85,55,24,887,1223,1261,2360,2116,2164,1968,1464,702,234,13481,76,319,802,701,839,546,49,3,4,3334,434,353,789,770,754,568,122,10,0,3791,25,38,140,61,36,68,14,0,0,379,14,16,21,26,21,13,6,0,0,115,545,719,1756,1553,1647,1194,188,12,3,7624,25,52,57,57,43,26,0,0,0,265,77,41,47,43,40,33,5,0,0,289,110,95,104,98,85,58,3,0,0,557
UCL211002,304,1241,3818,3571,3416,2296,327,32,3,15014,730,869,753,559,573,688,386,58,3,4613,32,57,98,94,96,131,44,8,0,571,41,66,88,65,65,49,19,9,3,392,1107,2232,4754,4286,4156,3162,777,102,14,20591,109,236,286,173,183,118,9,0,0,1121,195,181,90,49,51,55,15,0,0,628,308,414,378,222,232,175,22,0,0,1752,1413,2648,5134,4509,4382,3340,796,102,14,22341,1489,667,615,587,741,1429,2966,1919,658,11070,156,234,382,323,316,286,320,188,89,2282,3057,3544,6133,5420,5441,5053,4084,2217,758,35699,117,851,2033,1644,2120,1301,115,8,3,8191,1117,1311,1873,2270,2063,1580,343,33,6,10591,59,110,326,204,137,160,49,0,0,1050,31,58,53,55,52,42,10,3,0,311,1327,2337,4291,4166,4374,3086,516,43,7,20146,71,139,170,101,118,62,3,0,0,665,198,151,149,142,116,70,13,0,0,840,264,293,320,245,234,126,19,0,0,1501
UCL211003,281,1401,3839,3454,3318,2292,313,29,8,14935,770,769,698,547,559,770,403,63,0,4582,41,64,122,110,116,167,52,0,0,677,36,67,74,62,65,48,13,10,0,377,1129,2300,4725,4174,4065,3278,781,103,10,20572,100,237,247,185,147,121,4,3,0,1049,181,109,61,54,35,61,15,3,0,520,282,339,315,245,181,182,22,5,0,1570,1409,2641,5044,4420,4243,3460,802,107,10,22138,1365,508,510,532,742,1400,2901,1964,717,10647,154,194,381,304,351,354,338,231,148,2460,2930,3343,5931,5255,5338,5222,4041,2311,875,35242,154,886,2074,1610,1996,1272,115,9,3,8128,1104,1284,1834,2114,2014,1746,375,28,9,10499,60,118,337,200,154,164,42,3,0,1088,36,51,50,55,44,51,19,7,0,317,1356,2336,4294,3985,4209,3234,554,38,16,20020,60,94,119,102,87,52,4,0,0,520,212,167,139,129,86,57,7,0,0,804,273,261,259,234,177,108,11,0,0,1325
UCL211004,219,801,2524,2422,1863,1267,202,8,0,9302,338,324,402,338,266,305,126,9,0,2107,17,17,69,62,59,65,15,3,0,319,22,39,76,63,58,36,11,0,0,315,596,1187,3066,2886,2250,1675,353,24,3,12035,85,160,228,165,120,82,5,0,0,846,99,59,45,22,31,31,8,0,0,296,177,221,278,186,146,117,17,0,0,1143,777,1406,3341,3075,2398,1792,373,22,3,13182,912,305,391,442,496,792,1549,611,173,5661,105,122,307,241,213,200,133,69,9,1401,1791,1831,4041,3752,3103,2782,2057,700,186,20247,86,513,1371,1054,1046,620,62,3,0,4759,505,485,973,979,839,713,114,3,0,4619,23,36,166,104,59,61,6,0,0,454,18,37,40,29,29,20,5,3,0,188,636,1071,2547,2163,1978,1418,190,12,4,10024,51,122,141,108,94,49,0,0,0,576,113,66,128,115,62,62,3,0,0,540,167,186,273,221,149,113,4,0,3,1120
UCL212001,129,447,1283,1138,1071,839,138,13,0,5053,238,188,267,158,170,214,118,26,0,1382,18,17,41,33,28,34,20,3,0,189,15,17,43,32,25,21,10,3,0,156,399,662,1629,1358,1297,1113,279,41,4,6780,47,85,140,80,68,53,7,0,0,489,62,33,31,26,20,22,5,0,0,203,105,124,176,105,88,75,16,0,0,685,506,785,1803,1461,1386,1187,296,36,4,7466,517,160,225,244,335,563,1153,724,288,4213,68,122,220,144,167,165,171,110,47,1208,1093,1066,2247,1844,1892,1912,1613,877,337,12885,53,354,713,607,746,531,64,8,0,3069,362,288,601,663,618,470,132,8,4,3143,10,19,94,43,30,63,17,0,0,284,9,10,27,22,21,15,8,0,0,121,435,670,1441,1330,1418,1078,220,16,3,6619,27,55,61,53,43,17,0,0,0,262,80,35,57,39,35,36,3,0,0,290,110,98,116,96,75,54,3,0,0,544
UCL212002,167,601,1733,1636,1698,1175,227,22,3,7271,371,196,320,274,247,290,204,33,4,1939,30,30,48,47,46,81,21,3,0,299,30,28,51,51,44,22,16,3,3,243,597,851,2148,2007,2039,1572,467,56,13,9751,68,113,157,92,95,47,0,0,0,577,114,43,29,18,23,32,6,0,0,256,182,159,182,114,118,73,6,0,0,833,774,1005,2336,2122,2154,1644,472,56,11,10580,732,240,380,391,463,653,1368,993,359,5582,97,109,263,220,248,216,185,124,54,1507,1603,1361,2976,2735,2863,2514,2026,1173,419,17671,78,403,1016,846,1003,665,76,5,0,4096,530,352,741,918,930,753,176,17,5,4429,17,38,122,76,71,76,14,0,0,425,22,32,36,28,26,17,9,3,3,178,647,820,1921,1868,2036,1520,281,24,4,9121,35,52,66,64,47,24,3,0,0,285,115,45,68,60,41,22,3,0,0,350,148,94,133,129,93,40,3,0,0,635
UCL212003,151,571,1516,1650,1761,1111,154,3,6,6927,299,282,209,191,189,229,138,13,0,1545,5,19,35,37,39,43,10,0,0,196,10,16,36,26,33,15,3,0,0,138,465,885,1798,1900,2025,1405,305,16,9,8806,51,73,71,71,63,46,3,0,0,384,99,34,17,11,14,22,5,4,0,206,150,105,90,85,75,72,7,4,0,593,614,995,1890,1984,2101,1476,319,18,9,9401,575,127,143,147,181,439,882,533,182,3208,46,53,103,113,97,102,85,41,18,666,1235,1174,2134,2242,2374,2025,1284,592,210,13269,52,368,856,732,1028,574,61,0,0,3672,470,430,589,908,922,639,122,5,3,4089,17,29,128,68,56,42,9,0,0,350,15,20,18,16,29,15,10,0,0,123,550,839,1601,1731,2029,1272,198,14,3,8231,39,49,56,35,40,28,0,0,0,246,101,46,39,57,37,42,3,0,0,321,141,93,93,94,81,65,3,0,0,570
UCL212004,75,388,1144,1016,1067,684,90,3,0,4468,209,113,158,129,114,138,103,9,0,982,15,13,34,34,36,62,20,3,0,209,12,13,18,26,19,9,10,0,0,103,313,527,1360,1204,1228,892,216,20,3,5763,41,57,104,57,61,63,0,0,0,394,51,21,10,9,7,15,3,0,0,116,94,82,113,68,72,80,4,3,0,509,402,612,1474,1267,1305,972,219,21,3,6275,314,108,113,129,173,377,752,506,165,2631,53,65,114,84,110,137,106,74,44,789,765,779,1700,1487,1584,1479,1078,605,207,9695,41,251,631,461,493,335,40,3,0,2250,273,287,515,654,573,425,86,9,0,2824,13,25,93,46,39,42,12,4,0,282,9,13,18,13,9,18,6,0,3,80,333,573,1260,1176,1121,820,146,18,3,5443,24,33,45,33,28,24,0,0,0,192,46,23,39,51,30,24,4,0,0,210,68,60,88,82,57,41,4,0,0,399
