UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL201001,15571,22061,11183,12469,15375,7543,3657,4453,1162,93480,19770,21664,16909,27244,23623,11932,5218,7017,1648,135012,31128,15146,116411,38065,31280,19904,20969,25545,4324,302771,1506,1082,1489,2828,3699,2446,1215,2102,176,16541,3812,2986,2950,6674,7065,3930,2336,2863,486,33116,2215,4280,1745,1683,2395,1409,995,1213,416,16352,3199,4914,4114,4245,4250,3203,2691,3869,3899,34387,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
UCL203001,515,887,382,540,475,210,88,135,31,3261,607,799,595,1134,813,388,146,242,50,4783,1310,642,5761,2438,1495,1108,1025,1525,210,15512,54,54,79,159,134,157,55,148,8,848,129,103,114,277,220,147,110,136,19,1248,41,106,49,54,56,31,23,40,7,409,95,163,179,194,136,125,136,240,151,1419,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
UCL211001,92,144,60,126,107,30,19,20,8,604,183,201,133,394,210,94,33,50,18,1320,385,230,1556,640,498,339,377,420,57,4506,19,11,23,45,62,35,16,37,3,259,20,12,22,67,74,37,40,52,4,323,4,16,18,11,9,5,8,3,4,86,30,30,31,44,41,42,33,56,35,340,1122,2401,1921,1557,1223,678,571,689,159,10318
UCL211002,278,453,153,282,278,116,58,65,24,1703,339,435,269,681,461,207,50,118,33,2595,821,393,3479,1371,991,714,569,870,103,9302,35,25,49,93,117,125,30,104,8,588,60,42,64,155,107,85,47,67,6,641,25,59,26,28,29,19,8,15,8,208,65,88,94,100,72,100,62,122,66,763,3032,8274,4495,3578,2917,1696,913,1593,364,26854
UCL211003,212,425,146,299,229,70,26,59,18,1479,325,447,266,724,405,179,52,133,29,2551,972,435,3683,1510,1015,695,667,1010,113,10092,49,33,52,80,105,98,41,110,3,576,70,48,75,176,134,104,60,129,16,816,21,58,23,27,36,23,15,33,3,242,80,98,99,116,83,93,69,132,67,844,2890,7810,4596,3630,2802,1550,993,1826,315,26408
UCL211004,133,127,82,144,140,62,53,50,4,800,193,192,166,440,305,95,97,84,22,1596,388,188,2051,806,641,343,659,570,106,5747,19,6,26,56,66,54,42,47,5,319,47,23,37,137,78,46,89,54,14,521,9,22,17,22,22,12,27,14,3,148,31,39,70,72,60,53,84,62,61,534,1158,2062,2616,2010,1719,828,1170,988,250,12800
UCL212001,71,154,37,101,47,25,16,25,9,483,127,161,76,282,138,52,11,51,19,909,351,149,1069,460,360,272,200,318,53,3228,16,10,7,45,35,64,13,40,3,232,24,12,13,69,44,40,28,38,0,278,4,15,7,6,5,7,3,18,7,74,32,45,38,48,30,54,43,71,41,406,941,2226,1300,1209,805,566,331,623,134,8134
UCL212002,109,228,41,113,91,31,14,43,11,682,195,226,121,374,230,81,40,82,12,1363,466,198,1553,638,400,329,279,522,46,4441,24,7,19,35,44,45,15,48,0,232,24,17,32,75,51,27,21,38,6,304,12,31,9,17,16,7,0,22,4,127,31,36,51,50,32,46,49,96,61,454,1339,3188,1916,1579,1117,656,459,955,158,11363
UCL212003,117,191,88,124,140,54,21,30,7,766,186,195,110,335,247,113,35,39,12,1282,414,182,1767,553,489,265,379,337,49,4428,15,18,17,33,62,30,13,34,0,220,34,27,24,79,86,39,25,23,4,352,15,20,12,21,23,9,13,3,3,108,29,32,35,48,47,35,28,37,17,315,1272,2492,2176,1481,1423,684,567,560,119,10770
UCL212004,52,108,61,62,69,17,11,8,9,400,119,161,80,193,150,57,7,22,15,810,268,104,1257,373,371,168,257,305,57,3152,14,3,14,20,24,24,12,24,0,142,19,5,26,51,39,21,12,30,5,208,7,15,8,9,9,3,3,6,3,59,20,34,25,45,22,18,21,39,23,256,781,1919,1552,902,890,363,340,460,124,7336
