UCL_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL201001,2699,705,980,60,830,405,725,2785,114,9302,789,1334,568,19,449,36,596,134,65,4002,27019,18506,31730,1442,15994,8790,20816,25494,1520,151318,3534,5057,2391,43,4221,1112,2190,920,263,19735,19954,7378,80364,281,14504,2460,7252,22022,1395,155607,16338,11860,4588,204,13075,11049,9047,3505,552,70222,33434,13412,10150,1768,13726,106809,8154,12654,1032,201144,21608,1764,20169,37847,4278,17189,1622,24778,653,129917,10869,8291,3504,2856,20720,4688,38893,4580,1043,95450,8379,18696,5650,320,6069,3844,318,613,412,44297,14844,33792,1039,395,35833,3718,281,266,1460,91620,4997,4594,1083,531,6789,13990,577,1163,469,34195,24583,107863,13791,697,30044,3583,745,1498,1653,184452,8154,9546,6010,6277,11468,1933,2539,24506,699,71125,12110,24944,4854,25384,23905,490,914,3666,2254,98519,13398,107826,4572,25385,16636,648,355,2221,869,171909,12753,103145,7878,70027,32733,1544,1739,8047,1242,239115,6964,9583,2992,12602,3875,2024,285,2145,516,40972,6598,7159,28455,11418,7675,1523,1069,5640,484,70016,13106,12088,12328,4059,11149,6813,9559,10807,17446,97352
UCL203001,171,41,50,3,19,13,40,217,10,562,35,16,34,3,4,0,61,21,4,176,713,466,1452,95,400,320,771,1091,46,5348,122,140,148,4,228,46,145,57,10,903,658,169,3485,11,443,100,416,1023,67,6370,265,146,108,15,239,355,285,134,12,1559,1251,468,507,70,566,4637,439,691,32,8661,733,34,675,1572,120,845,83,1253,19,5337,257,169,131,81,470,106,1364,203,34,2820,121,251,155,8,132,140,13,24,11,850,288,690,21,9,903,85,10,9,32,2046,106,81,37,25,169,370,22,36,20,855,368,1926,472,9,823,81,22,73,30,3797,140,192,231,204,254,26,82,956,17,2104,361,777,189,1557,951,23,54,215,95,4217,503,4385,243,986,768,30,41,167,32,7157,475,4476,410,3532,1369,54,61,615,57,11055,194,208,104,370,102,78,8,90,18,1170,164,207,1145,399,226,35,36,240,9,2466,259,225,446,148,233,188,284,379,519,2688
UCL211001,41,11,27,0,11,16,17,39,0,164,0,0,8,0,0,0,15,3,0,30,221,118,418,12,131,79,239,473,25,1713,14,12,31,3,20,3,22,9,3,120,115,19,715,7,134,32,114,193,8,1343,54,28,37,0,60,92,72,35,5,370,268,26,115,14,102,1011,122,162,10,1835,165,5,144,303,21,211,9,270,5,1128,62,22,30,16,128,35,432,17,8,756,22,38,27,5,16,28,0,5,3,140,31,85,0,0,163,16,0,4,0,305,16,12,5,0,29,93,3,5,4,168,40,274,101,3,147,18,3,7,6,594,34,47,50,36,71,11,44,253,3,541,236,310,249,380,409,3,54,55,48,1748,87,700,42,225,142,0,3,32,0,1225,101,833,76,929,299,15,15,143,8,2416,18,8,19,38,18,9,0,16,0,138,38,33,314,83,63,9,15,84,4,637,45,34,112,19,55,38,73,92,122,586
UCL211002,155,34,58,5,34,13,35,127,0,467,36,53,61,7,27,3,87,20,0,297,459,219,810,31,240,228,409,754,26,3180,59,66,83,0,71,9,54,32,7,380,407,72,1943,3,278,59,256,491,33,3541,116,73,70,3,105,252,132,56,5,820,703,160,295,48,292,2608,153,410,23,4688,490,16,386,898,85,543,37,780,17,3258,121,54,65,21,316,91,639,59,12,1374,117,223,178,17,196,78,11,41,11,870,98,226,8,0,323,50,0,0,10,711,38,47,18,4,108,222,15,17,3,488,183,1099,310,9,483,27,3,24,26,2166,72,102,115,84,152,13,9,464,6,1027,262,423,129,788,642,12,49,103,66,2480,318,2757,109,752,433,12,10,100,31,4519,293,2946,231,2065,949,27,58,330,36,6923,105,156,88,220,81,63,6,103,7,826,79,100,640,206,122,30,24,191,6,1398,120,94,226,86,126,112,103,178,287,1330
UCL211003,226,31,78,0,42,18,40,269,9,718,50,79,139,3,33,3,239,30,4,583,412,210,732,38,246,227,411,1158,26,3473,64,72,127,0,137,3,68,24,12,509,413,81,1934,4,287,61,262,502,19,3561,112,48,56,3,97,191,106,57,7,683,689,153,298,56,239,2694,159,485,16,4780,394,12,371,824,82,473,45,750,20,2973,106,56,52,20,280,73,629,64,11,1295,65,145,97,5,73,71,8,26,0,489,227,542,43,14,757,31,3,5,24,1643,55,29,23,8,77,212,7,21,6,440,145,856,225,4,393,27,8,18,10,1698,68,106,107,91,195,18,20,545,15,1159,234,488,118,797,534,12,63,122,52,2419,225,2306,97,641,330,3,10,74,17,3698,312,2888,237,2186,902,48,52,314,45,6980,91,75,61,163,49,29,11,69,5,564,107,129,741,194,146,37,22,151,7,1526,130,95,221,57,135,130,147,196,291,1398
UCL211004,13,12,11,0,26,3,11,28,3,107,6,3,12,0,7,0,40,8,0,74,210,74,496,9,209,92,370,339,21,1821,25,20,45,0,70,10,88,33,7,302,131,30,1253,3,177,23,236,448,31,2337,96,39,80,3,189,118,208,60,7,793,326,41,166,22,171,1392,185,233,19,2555,194,7,136,242,36,289,26,342,11,1283,181,67,108,35,548,80,1320,148,25,2511,34,91,55,3,50,36,4,3,0,281,46,118,9,0,355,28,0,5,13,578,30,7,17,12,74,108,24,28,6,316,73,285,126,9,237,23,15,27,3,800,36,92,68,74,120,26,70,328,11,825,85,142,60,547,297,5,31,86,29,1292,53,661,50,387,171,11,5,34,9,1388,96,519,123,1145,340,15,19,105,15,2381,47,31,45,122,34,18,5,44,5,360,49,57,478,105,72,17,21,71,3,868,79,46,185,75,135,73,215,168,245,1219
UCL212001,242,40,49,3,32,0,52,329,7,758,14,7,26,0,4,0,44,3,3,102,109,57,211,10,62,50,93,168,8,781,12,26,48,0,30,0,23,18,0,156,95,13,450,3,76,10,73,112,0,833,57,32,46,0,61,89,53,39,3,376,241,49,107,15,95,1076,40,176,8,1803,193,4,146,262,55,155,20,305,4,1135,41,9,28,22,102,40,285,36,5,556,20,40,36,0,17,32,3,15,4,165,35,69,3,0,132,4,0,0,0,238,12,7,3,5,35,89,0,8,3,160,33,231,65,0,152,13,0,6,3,512,43,68,45,52,79,7,34,274,10,612,70,126,55,287,164,3,21,50,19,792,86,739,28,224,95,4,6,26,7,1216,92,793,69,673,257,14,8,67,12,1990,31,14,20,38,12,11,4,22,0,153,26,26,236,71,42,10,12,46,0,476,53,45,89,27,52,27,47,95,141,576
UCL212002,265,18,42,3,43,20,37,349,6,790,5,3,9,0,0,0,8,7,0,31,260,91,403,15,138,88,259,535,19,1805,85,97,62,0,114,3,70,19,5,451,216,32,776,4,143,39,97,228,14,1546,75,50,34,4,58,96,54,48,0,426,337,53,143,17,124,1315,78,209,9,2291,202,6,142,269,32,225,19,292,4,1191,65,12,31,5,126,34,449,38,7,757,32,63,45,3,24,43,0,5,0,220,39,108,0,3,161,13,0,0,3,324,21,18,8,3,56,85,3,10,0,207,55,388,108,3,198,16,7,13,0,778,43,48,60,40,79,4,28,313,0,621,91,170,55,250,192,4,17,54,7,843,111,965,28,276,166,3,5,38,10,1598,133,1228,105,1053,405,15,30,166,17,3146,34,17,20,47,17,17,3,12,0,167,47,37,375,100,82,27,21,133,8,833,71,39,130,52,90,58,84,136,193,842
UCL212003,14,8,15,3,14,4,9,17,0,78,5,3,9,0,4,3,21,0,0,51,201,97,347,9,169,80,116,112,13,1144,27,30,32,0,56,9,39,19,3,209,175,33,1063,4,159,26,115,310,17,1905,100,43,56,3,108,95,79,10,4,491,241,39,111,16,118,1025,77,153,7,1793,125,3,105,277,27,226,21,220,3,1012,181,149,137,64,451,102,612,84,19,1794,34,68,39,4,41,29,5,9,0,227,74,150,3,0,277,36,3,0,7,561,37,16,12,11,60,88,6,22,0,254,109,328,124,0,245,23,4,13,4,853,48,57,53,49,94,15,28,159,6,508,118,184,92,451,292,15,17,42,28,1234,102,807,42,292,143,3,3,22,6,1420,92,604,74,685,318,14,15,56,7,1858,51,36,31,115,36,20,3,26,6,309,48,29,354,97,84,12,17,50,4,692,68,45,107,21,91,53,76,61,108,635
UCL212004,34,12,23,0,11,0,30,39,0,161,9,16,76,0,10,0,79,15,5,208,100,47,242,13,54,28,178,189,10,867,63,97,267,3,64,4,89,55,11,654,121,28,504,0,78,11,92,179,5,1019,29,18,25,0,27,38,25,8,3,168,209,26,86,7,70,743,44,93,3,1283,131,4,105,227,12,117,12,187,3,797,36,32,28,8,68,18,139,15,6,345,9,31,14,0,27,26,0,12,0,116,32,58,0,9,128,7,0,0,0,229,11,9,10,5,39,40,4,3,0,129,26,159,82,0,113,10,6,13,0,410,19,32,27,12,55,3,7,121,3,289,82,158,41,228,434,8,4,38,40,1034,57,536,19,138,85,3,3,15,4,861,66,737,65,505,271,4,8,80,12,1751,21,11,9,40,13,11,0,7,3,117,22,25,215,64,40,13,3,34,5,418,26,18,75,20,29,31,26,49,85,355
