UCL_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL201001,128,145,50,323,315,304,620,944,3797,23,4764,86,298,39,423,138,142,276,695,1118,12,1822,144,919,88,1152,411,447,856,2007,2895,29,4930,216,1200,89,1501,290,368,660,2161,3129,16,5306,315,1972,183,2467,422,485,905,3374,4822,41,8239,1018,4219,337,5578,436,694,1124,6698,6480,36,13217,2105,4383,347,6837,318,398,710,7550,6840,64,14449,3864,4652,351,8875,278,282,567,9435,6882,55,16374,5583,4362,371,10323,263,232,491,10816,6846,62,17722,5400,3044,316,8755,216,169,382,9139,4456,55,13650,5038,2038,246,7322,125,94,214,7538,3185,27,10751,4145,1437,208,5784,86,72,159,5943,2339,17,8308,6738,1853,296,8886,128,64,191,9078,2802,20,11894,2753,724,137,3609,41,27,73,3684,1327,12,5017,1349,316,59,1730,23,8,32,1766,422,7,2188,1783,339,68,2195,39,15,58,2256,348,3,2604,1513,323,68,1905,21,7,26,1930,614,7,2553,5255,3061,512,8825,338,269,605,9432,5674,396,15502,431,332
UCL203001,3,0,3,10,5,6,12,19,81,0,106,0,16,0,20,5,3,8,31,40,0,68,3,40,9,49,18,15,36,83,138,3,222,10,51,4,68,21,20,37,104,170,0,276,16,126,10,151,40,27,66,220,301,0,517,43,272,32,343,44,50,97,441,420,3,868,105,251,12,364,23,19,47,413,433,5,851,165,251,24,445,14,22,30,479,390,0,870,265,237,23,525,20,10,31,551,326,4,879,233,147,17,402,16,0,17,422,182,5,605,221,98,12,327,3,3,5,332,109,0,443,192,59,11,255,3,0,3,260,61,3,322,241,54,14,306,0,3,3,306,74,3,385,94,14,0,109,0,0,0,109,25,0,133,30,5,0,41,0,0,0,41,15,0,51,40,13,0,53,0,0,0,54,16,0,66,34,6,0,38,3,0,4,43,10,0,57,191,163,19,379,14,15,26,410,248,10,669,18,20
UCL211001,0,3,0,3,3,0,4,8,10,0,15,0,0,0,0,0,0,0,0,17,0,17,0,10,3,17,6,0,6,20,34,0,51,3,17,3,25,4,3,7,32,66,0,97,0,22,4,27,14,9,19,51,85,0,136,12,62,7,81,12,12,20,103,113,0,220,32,79,7,117,7,7,11,132,79,3,214,49,90,5,142,0,5,8,151,66,0,211,104,50,4,156,0,5,9,163,51,0,216,68,37,6,112,0,0,3,121,43,0,163,69,17,0,84,0,0,0,84,14,0,106,36,8,0,47,3,0,5,52,4,0,62,57,14,3,73,0,0,0,73,16,0,91,11,5,0,20,0,0,0,20,5,0,28,4,0,0,4,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,6,0,5,0,3,0,3,0,0,0,3,3,0,5,51,42,4,94,10,8,13,103,55,4,161,4,7
UCL211002,4,0,0,9,5,3,8,17,39,0,54,0,3,0,3,0,0,3,5,16,0,19,4,13,3,27,11,13,24,49,63,0,117,0,33,4,37,16,16,31,68,116,0,187,11,76,11,98,20,43,64,162,215,0,378,31,184,11,225,27,49,78,301,279,3,582,77,181,15,277,11,23,35,309,319,3,627,124,179,9,309,12,15,24,334,226,0,564,147,147,11,302,7,12,20,324,165,0,487,165,89,9,263,7,0,6,270,86,0,361,128,51,5,184,0,3,3,184,57,0,241,107,27,7,140,0,0,0,137,29,0,173,108,33,8,150,0,0,0,147,27,0,180,41,12,0,47,0,0,0,47,10,0,57,16,6,0,19,0,0,0,19,0,0,24,21,3,0,22,0,0,3,29,6,0,38,15,3,0,18,0,0,0,22,9,0,29,134,94,9,240,17,15,34,273,124,16,407,11,14
UCL211003,0,0,3,3,4,3,7,11,43,0,49,0,8,0,8,4,5,7,17,21,0,37,3,22,0,23,10,13,26,52,74,0,129,3,35,6,44,19,15,33,78,111,0,186,12,76,14,94,16,11,29,125,171,0,292,35,192,26,248,18,38,60,312,270,0,581,65,205,18,289,13,12,26,319,301,0,619,127,195,13,333,9,11,20,351,243,3,596,170,150,8,331,7,11,16,348,175,3,525,149,89,13,256,0,3,3,256,111,3,367,143,44,9,198,5,0,5,204,55,0,258,91,32,4,132,0,0,0,134,26,0,155,113,38,3,158,4,0,4,157,37,0,198,40,9,3,51,0,0,0,54,13,0,59,9,3,0,10,0,0,0,13,3,0,13,15,0,0,15,0,0,0,15,11,0,27,11,0,0,16,0,4,4,21,7,0,25,135,100,19,258,6,10,16,274,137,8,420,9,6
UCL211004,3,6,0,8,10,4,14,20,67,0,89,0,3,0,3,0,0,0,3,25,0,32,0,10,0,14,12,3,16,31,64,0,100,5,25,0,29,7,12,17,46,103,0,153,0,42,3,45,17,12,33,73,151,0,225,10,96,11,117,21,37,53,168,243,0,409,43,74,8,133,12,19,36,162,203,0,363,96,96,14,206,7,8,16,215,167,0,381,116,80,8,202,7,11,16,225,128,4,356,96,51,6,153,7,0,10,163,97,0,257,63,21,4,97,4,3,9,99,51,0,158,75,17,0,96,5,5,11,99,28,0,135,95,26,0,127,0,0,0,129,36,0,166,41,7,0,44,0,0,0,45,15,0,60,12,5,0,16,0,0,0,17,6,0,30,13,0,0,12,0,0,0,19,3,0,22,10,0,0,6,0,0,0,7,7,0,16,83,41,11,131,6,12,22,154,107,4,260,4,6
UCL212001,0,0,0,0,0,3,4,4,14,0,16,0,3,0,5,0,0,3,6,5,0,16,0,10,0,10,8,7,16,21,34,0,62,0,13,0,14,3,5,8,24,59,0,85,0,22,0,28,13,9,18,48,103,0,146,14,67,4,83,12,9,18,102,117,0,225,40,67,3,109,3,10,11,123,113,0,242,79,68,10,151,0,3,9,159,81,0,240,56,32,7,99,6,3,11,104,57,0,162,47,35,0,81,0,0,3,79,34,0,116,49,10,3,63,0,0,0,67,26,0,91,34,10,0,41,0,0,0,40,12,0,50,29,12,0,45,0,0,0,45,4,0,46,12,0,0,12,0,0,0,12,8,0,22,3,0,0,8,0,0,0,8,0,0,8,3,0,0,3,0,0,0,9,0,0,10,7,3,0,5,0,0,0,5,3,0,9,55,21,5,82,3,3,7,87,50,9,148,3,5
UCL212002,0,0,3,8,3,3,9,16,27,0,42,0,4,0,4,0,0,0,4,8,0,11,0,9,7,12,0,6,6,15,43,0,55,3,19,0,20,4,6,14,32,64,0,97,10,30,3,44,11,18,32,76,105,0,178,14,72,7,95,7,14,24,126,149,0,276,39,92,9,149,7,7,16,163,124,0,285,60,91,3,158,8,10,18,169,106,0,283,100,74,14,180,0,3,8,189,80,0,270,79,38,9,130,3,0,3,131,53,0,190,57,14,4,72,0,3,3,71,25,0,99,45,10,4,54,0,0,3,61,14,0,77,57,16,3,71,0,0,0,71,17,0,94,22,3,0,25,0,0,0,25,9,0,38,4,0,0,5,0,0,0,8,0,0,8,10,0,0,8,0,0,0,7,3,0,12,4,0,0,7,0,0,0,7,3,0,10,58,51,8,120,6,3,9,125,66,4,196,6,8
UCL212003,0,0,0,3,0,0,5,6,13,0,18,0,6,0,6,0,0,3,6,6,0,11,4,7,4,13,3,3,9,20,22,0,44,0,8,0,8,0,3,3,15,29,0,45,4,18,0,21,4,3,8,35,53,0,86,8,39,10,58,0,14,13,72,82,0,153,20,73,0,92,4,0,7,98,61,0,160,46,64,3,114,3,0,3,122,60,0,177,64,44,3,109,3,3,5,113,52,0,168,74,39,5,116,0,0,3,118,39,0,156,48,21,5,79,3,0,0,81,22,0,98,55,11,3,68,0,0,0,68,16,0,79,84,25,3,113,0,0,3,116,12,0,130,44,12,0,50,0,0,0,50,10,0,62,15,3,0,21,0,0,0,21,0,0,26,17,0,0,19,0,0,0,19,3,0,16,8,0,0,8,0,0,0,8,0,0,14,60,45,6,118,8,0,9,122,31,0,161,4,4
UCL212004,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,8,0,8,0,3,0,3,10,0,11,15,18,0,36,0,12,0,12,3,3,4,18,38,0,51,6,21,3,26,11,13,22,51,39,0,94,14,57,4,75,6,19,28,111,73,0,181,19,48,3,71,3,11,13,79,68,0,149,32,45,0,81,3,3,3,88,34,0,126,45,37,5,87,0,3,4,94,36,0,133,29,23,4,50,0,0,0,50,7,0,62,45,7,3,52,0,0,0,55,11,0,70,34,12,4,49,0,0,0,49,8,0,57,30,12,3,41,0,0,3,43,5,0,47,10,6,0,20,0,0,0,20,5,0,26,3,0,0,7,0,0,0,7,0,0,4,6,0,0,6,0,0,0,9,3,0,13,5,3,0,6,0,0,0,6,0,0,6,31,29,8,62,8,0,8,71,30,0,100,0,0
