UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL201001,6331,8375,11218,16525,40062,62187,36762,78141,2532,262130,17230,38904,44658,53297,92115,123967,55029,77843,4501,507545,5472,13466,16268,19176,56102,66774,28062,33449,4334,243094,7647,44090,35281,35265,30591,22102,10890,12176,3565,201608,8799,29059,33710,34571,70853,55185,20581,18403,2811,273979,5772,54383,29480,23117,27687,23136,11000,15160,2890,192635,2736,6599,8144,9659,28539,22866,11757,15006,2372,107672,4173,33765,24923,19176,31481,21977,8687,9785,3483,157451,1313,2683,2072,2142,5118,5274,1666,3071,10796,34140,59484,231310,205760,212936,382559,403468,184434,263038,37293,1980273
UCL203001,231,277,316,470,1122,1524,1033,2144,67,7180,658,1263,1686,1882,2673,3033,1670,2097,111,15071,287,576,562,778,2249,2810,1229,1404,157,10048,448,1950,1573,1703,1254,1026,489,501,156,9099,354,1015,1160,1178,2154,1369,593,521,79,8422,279,2443,1177,1006,974,670,365,502,111,7532,151,300,301,317,899,926,513,739,80,4230,262,1895,999,975,1237,1102,361,487,156,7482,59,87,51,70,142,165,47,93,339,1065,2737,9810,7826,8386,12698,12628,6292,8492,1264,70130
UCL211001,42,54,56,110,245,329,269,508,9,1614,120,166,256,365,539,532,283,344,12,2610,66,96,106,185,559,642,409,449,33,2542,110,362,298,404,355,213,142,154,34,2072,77,192,231,326,556,327,170,115,11,2014,73,464,267,272,263,148,99,116,15,1706,45,49,64,97,296,243,169,268,28,1252,78,399,232,245,333,298,150,113,39,1892,12,19,6,19,37,30,19,39,82,266,625,1799,1508,2020,3179,2774,1708,2103,259,15964
UCL211002,121,163,174,286,686,837,635,1296,39,4237,397,734,981,1243,1580,1693,971,1248,72,8915,139,344,296,449,1360,1618,722,808,84,5820,286,1192,878,987,741,507,261,299,86,5241,209,591,682,789,1327,789,368,280,44,5076,201,1441,645,554,613,408,237,280,80,4457,71,127,137,177,411,401,303,443,35,2103,165,1050,578,565,784,463,318,271,85,4279,34,57,33,54,86,74,39,61,185,618,1625,5693,4405,5109,7590,6786,3852,4980,702,40738
UCL211003,130,150,203,322,667,791,635,1204,47,4138,432,636,915,1224,1657,1559,840,1088,55,8406,181,309,289,441,1384,1451,741,872,88,5751,301,1066,801,1039,722,559,258,280,65,5101,227,591,654,788,1338,712,368,292,54,5036,170,1467,665,546,619,344,246,243,57,4363,83,159,124,177,478,436,312,471,56,2304,202,1158,593,607,990,640,343,269,86,4891,38,64,44,53,78,68,28,53,173,600,1758,5587,4293,5202,7944,6558,3783,4775,694,40593
UCL211004,60,56,64,115,396,433,238,443,17,1826,98,161,213,264,559,519,217,280,25,2329,84,130,137,247,885,1069,428,475,67,3511,116,419,413,574,508,407,138,185,49,2809,137,239,341,402,947,723,264,228,45,3324,92,634,351,331,398,255,118,140,38,2358,98,134,136,205,693,649,379,559,54,2906,77,480,274,317,562,402,168,208,43,2534,16,38,18,30,72,74,24,40,156,457,771,2291,1938,2497,5016,4530,1972,2549,500,22062
UCL212001,44,68,55,84,239,320,219,458,27,1508,100,131,223,300,556,479,243,359,18,2405,34,87,71,120,465,461,204,277,33,1751,93,247,266,352,344,177,95,85,27,1696,52,154,160,244,449,287,93,85,15,1546,55,474,205,242,310,133,89,112,22,1630,30,48,39,36,160,169,107,228,17,831,58,395,236,243,351,247,110,117,34,1794,17,17,3,24,34,28,9,20,91,238,475,1617,1260,1647,2908,2303,1176,1738,280,13397
UCL212002,64,62,81,141,363,458,351,656,26,2196,167,203,339,481,721,709,390,402,32,3441,66,100,116,177,659,734,341,327,53,2576,107,357,329,444,381,243,97,141,45,2145,74,245,308,343,566,394,160,127,22,2242,74,649,240,325,324,198,106,157,34,2106,57,81,76,79,286,259,156,249,26,1264,97,486,285,359,512,434,207,165,59,2597,21,24,10,19,36,35,12,24,125,306,721,2206,1784,2368,3841,3458,1810,2249,416,18868
UCL212003,38,54,59,110,314,411,277,576,9,1839,128,184,316,337,534,591,269,362,17,2730,73,122,122,175,625,846,373,459,27,2814,85,391,332,398,354,237,142,128,32,2105,84,247,361,396,756,557,203,169,22,2795,58,547,319,267,245,195,95,116,30,1871,35,43,67,89,270,288,175,269,34,1260,41,342,167,146,212,226,103,121,30,1380,17,19,7,9,39,48,14,25,60,242,554,1958,1745,1928,3347,3385,1647,2219,261,17038
UCL212004,31,39,30,78,191,241,157,335,4,1112,82,158,213,255,416,382,212,319,12,2060,83,90,78,114,453,482,246,348,23,1919,57,284,199,242,181,135,79,73,23,1286,91,164,244,257,441,240,90,78,9,1623,41,393,145,137,147,75,62,86,21,1103,43,35,30,37,152,125,158,165,10,753,45,256,136,139,169,153,112,107,21,1146,11,12,16,17,35,19,18,17,52,203,492,1432,1091,1283,2186,1867,1143,1532,179,11209
